Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude,Ville
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZAG03,ZAG TOULON,FR03069,HYERES,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,75.0,75.29301960784322,µg-m3,,,,R,1,43.119737,6.131319,Hyères
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZRE02,ZR PROVENCE-ALPES-COTE-D-AZUR,FR03070,ESTEREL,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,62.0,61.98032503457819,µg-m3,,,,R,1,43.437874,6.76839,Saint-Raphaël
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZAG03,ZAG TOULON,FR03071,TOULON CLARET,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,65.0,65.25747636278747,µg-m3,,,,R,1,43.131113,5.924184,Toulon
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZAG04,ZAG AVIGNON,FR03080,AVIGNON   MAIRIE,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,61.0,60.93608010127745,µg-m3,,,,R,1,43.949673,4.804341,Avignon
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZRE02,ZR PROVENCE-ALPES-COTE-D-AZUR,FR03086,APT,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,61.0,60.79608069164272,µg-m3,,,,R,1,43.88012,5.362038,Apt
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZAG04,ZAG AVIGNON,FR03088,CARPENTRAS,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,64.0,63.67402656894178,µg-m3,,,,R,1,44.060347,5.067413,Carpentras
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04004,PARIS 18eme,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,50.0,50.06656990246169,µg-m3,,,,R,1,48.891666,2.346667,Paris
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04017,NEUILLY-SUR-SEINE,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,47.0,47.433165426445385,µg-m3,,,,R,1,48.88139,2.278056,Neuilly-sur-Seine
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04023,CERGY-PONTOISE,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,54.0,53.92962962962968,µg-m3,,,,R,1,49.04639,2.043056,Cergy
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04029,VERSAILLES,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,50.0,49.58525685325969,µg-m3,,,,R,1,48.799168,2.130556,Versailles
