polluant;ville;valeur;valeur_brute;codgeo;population_2022;mediane_niveau_vie_2021;densite_population_2022;part_commerce_transport_services_2023;part_industrie_2023;nb_hotels_2022;nb_etablissements_2023;taux_activite_2022;part_construction_2023;nb_campings_2022
PM2.5;Montargis;10.0;10.14084533449499;45208;14819.0;16670.0;3322.6;41.2;2.3;6.0;722.0;73.9;4.5;1.0
PM2.5;Montauban;11.0;10.816442080378232;82121;62487.0;21630.0;462.3;45.7;7.8;12.0;3076.0;72.7;5.7;0.0
PM2.5;Montbéliard;9.0;8.885362113706046;25388;25516.0;18600.0;1699.9;38.4;4.6;8.0;953.0;67.5;3.5;0.0
PM2.5;Montceau-les-Mines;7.0;6.543662135471117;71306;16946.0;19210.0;1019.6;48.9;12.2;5.0;668.0;67.8;4.2;0.0
PM2.5;Montlhéry;15.0;15.29238240112332;91425;9238.0;26310.0;2816.5;57.7;2.8;0.0;324.0;82.4;18.0;0.0
PM2.5;Montluçon;9.0;8.826993022989821;3185;33317.0;19420.0;1611.9;39.4;13.2;11.0;1308.0;71.9;4.1;0.0
PM2.5;Montoir-de-Bretagne;10.0;9.635935878214742;44103;7289.0;22090.0;198.1;36.1;53.2;0.0;324.0;78.0;6.0;0.0
PM2.5;Montpellier;9.333333333333334;9.687246700931931;34172;307101.0;19670.0;5399.1;46.8;3.9;57.0;12224.0;67.1;3.0;0.0
PM2.5;Moult-Chicheboville;10.0;10.19157227004989;14456;3404.0;22530.0;191.2;37.7;35.4;0.0;98.0;79.5;21.4;0.0
PM2.5;Mulhouse;11.0;11.06154850967822;68224;104924.0;16620.0;4730.6;40.4;4.1;16.0;3795.0;67.5;5.4;1.0
PM2.5;Nancy;11.5;11.362318157337324;54395;104387.0;22360.0;6954.5;38.5;2.6;21.0;4349.0;66.2;2.0;0.0
PM2.5;Nantes;9.666666666666666;9.538841560359032;44109;325070.0;24170.0;4986.5;52.2;4.3;49.0;11775.0;74.0;2.2;1.0
PM2.5;Neuilly-Saint-Front;9.0;8.69794901011256;2543;1980.0;20960.0;110.7;43.7;14.4;0.0;59.0;79.0;4.7;0.0
PM2.5;Nice;10.5;10.828289927948763;6088;353701.0;21570.0;4918.0;48.1;3.5;161.0;16194.0;72.0;4.9;0.0
PM2.5;Niort;9.0;8.950474207726135;79191;60074.0;23120.0;880.9;56.3;5.3;19.0;2412.0;76.6;2.8;0.0
PM2.5;Notre-Dame-de-Bliquetuit;10.0;10.14392248972398;76473;824.0;24160.0;84.3;0.0;9.7;0.0;13.0;81.2;37.1;0.0
PM2.5;Nîmes;9.0;9.35902865692258;30189;150444.0;18760.0;929.5;42.6;3.7;31.0;6472.0;66.4;4.5;1.0
PM2.5;Orléans;9.0;9.088905581879134;45234;116344.0;21370.0;4233.8;36.4;2.9;22.0;4150.0;73.7;3.0;0.0
PM2.5;Paray-le-Frésil;9.0;9.227101096224104;3203;379.0;20240.0;10.2;12.5;0.0;0.0;10.0;79.1;0.0;0.0
PM2.5;Paris;11.2;11.439549389909605;75118;;;;;;;;;;
PM2.5;Passy;15.0;14.515098519295783;74208;10852.0;25320.0;135.6;44.6;15.2;3.0;326.0;80.2;14.9;4.0
PM2.5;Peillon;12.0;12.487187422629326;6092;1427.0;25440.0;164.0;52.8;3.2;1.0;28.0;79.1;20.0;1.0
PM2.5;Perpignan;9.5;9.748310948359372;66136;120996.0;17380.0;1777.5;50.0;5.0;32.0;5714.0;62.9;3.9;1.0
PM2.5;Peyrusse-Vieille;7.0;6.810853336396013;32317;64.0;;5.8;0.0;0.0;0.0;2.0;75.6;0.0;0.0
PM2.5;Plan-d'Aups-Sainte-Baume;12.0;11.746774193548386;83093;2430.0;24970.0;97.6;28.4;2.8;2.0;45.0;79.7;11.4;0.0
PM2.5;Pointe-à-Pitre;7.0;6.888766662352792;97120;;;;;;;;;;
PM2.5;Poitiers;9.0;9.11256622897952;86194;89472.0;20150.0;2124.7;33.4;4.8;23.0;3207.0;62.7;2.5;0.0
PM2.5;Port-de-Bouc;10.0;9.52770442436875;13077;16138.0;20030.0;1408.2;43.3;12.4;1.0;409.0;69.1;12.2;2.0
PM2.5;Rageade;4.0;4.319646745705299;15158;99.0;;7.9;0.0;0.0;0.0;5.0;80.0;0.0;0.0
PM2.5;Rambouillet;9.0;9.15156698427279;78517;27145.0;27990.0;771.4;43.1;11.3;6.0;919.0;77.2;3.6;1.0
PM2.5;Recloses;7.0;7.265012205044754;77386;624.0;30980.0;66.7;20.7;24.1;0.0;15.0;77.8;10.3;0.0
PM2.5;Reims;10.0;9.744502450616018;51454;178478.0;20210.0;3805.5;42.7;8.7;42.0;5730.0;69.7;4.2;0.0
PM2.5;Rennes;10.0;10.155659799565377;35238;227830.0;22770.0;4521.3;43.2;2.9;34.0;8528.0;68.0;1.7;1.0
PM2.5;Rezé;10.0;10.338573446327722;44143;43349.0;23550.0;3145.8;60.4;7.5;4.0;1308.0;78.3;3.1;0.0
PM2.5;Rodez;8.0;7.901274108708357;12202;24136.0;22210.0;2158.9;40.8;5.1;16.0;1503.0;72.1;3.1;1.0
PM2.5;Rognac;8.0;8.099325659807011;13081;12335.0;24630.0;706.5;58.5;18.0;1.0;397.0;77.2;8.0;0.0
PM2.5;Romans-sur-Isère;13.0;12.518833913475884;26281;33139.0;20520.0;1001.8;37.8;26.1;3.0;1315.0;74.2;4.2;0.0
PM2.5;Roubaix;15.0;14.57588566827704;59512;99507.0;14580.0;7521.3;42.0;6.8;5.0;2682.0;61.1;5.0;0.0
PM2.5;Rouen;11.0;10.94986367884213;76540;116331.0;21330.0;5441.1;42.0;3.8;39.0;5530.0;69.2;2.1;0.0
PM2.5;Roye;10.0;9.712044046799704;80685;5748.0;18970.0;369.6;48.6;30.0;1.0;273.0;72.7;4.5;0.0
PM2.5;Saint-Brieuc;7.0;7.155560780625445;22278;44607.0;20910.0;2038.7;25.1;4.3;8.0;1581.0;71.7;2.3;1.0
PM2.5;Saint-Brisson;6.0;5.9242848664688745;58235;252.0;19680.0;8.5;18.5;0.0;0.0;11.0;63.7;0.0;1.0
PM2.5;Saint-Chamond;9.0;9.388466915191051;42207;35586.0;20330.0;648.4;33.8;19.8;2.0;1012.0;71.5;5.0;0.0
PM2.5;Saint-Denis;14.0;14.45186976524714;93066;148907.0;16470.0;9442.4;60.1;6.8;15.0;4812.0;69.5;7.5;0.0
PM2.5;Saint-Denis-d'Anjou;9.0;9.08935925457263;53210;1512.0;21580.0;36.1;9.6;42.8;1.0;35.0;78.4;8.8;0.0
PM2.5;Saint-Dizier;9.0;8.67823625613286;52448;22811.0;18720.0;478.3;35.7;19.0;7.0;854.0;67.8;3.2;0.0
PM2.5;Saint-Germain-sur-Rhône;9.0;9.436412121212117;74235;644.0;32240.0;82.0;10.3;0.0;0.0;6.0;82.7;55.2;0.0
PM2.5;Saint-Jean-de-Braye;11.0;10.9771982808689;45284;22088.0;22100.0;1612.3;41.9;26.8;4.0;596.0;75.7;8.4;0.0
PM2.5;Saint-Malo;9.0;8.96499185857175;35288;47255.0;23490.0;1291.8;47.7;12.1;77.0;2525.0;73.5;4.4;3.0
PM2.5;Saint-Martin-d'Hères;12.0;11.865419686696288;38421;38022.0;21160.0;4106.0;28.3;2.7;1.0;1005.0;63.6;4.8;0.0
PM2.5;Saint-Nazaire;9.0;8.720217046701634;44184;73111.0;21900.0;1562.5;32.1;26.5;11.0;2188.0;74.1;4.4;1.0
PM2.5;Saint-Nazaire-le-Désert;5.0;5.2045699232619365;26321;205.0;16760.0;4.4;35.5;0.0;1.0;10.0;67.2;22.6;1.0
PM2.5;Saint-Quentin;11.0;10.635516905550297;2691;52995.0;18400.0;2349.1;41.6;7.0;8.0;1768.0;68.1;3.3;1.0
PM2.5;Saint-Étienne;9.0;9.122116672756068;42218;172569.0;19010.0;2157.9;41.6;7.9;21.0;6205.0;68.2;3.8;1.0
PM2.5;Sainte-Savine;9.0;8.57111602467124;10362;10457.0;21590.0;1385.0;46.6;25.5;1.0;321.0;75.0;5.3;0.0
PM2.5;Salaise-sur-Sanne;9.0;8.936509099792357;38468;4548.0;22200.0;281.6;71.4;14.5;0.0;384.0;74.5;8.2;0.0
PM2.5;Salon-de-Provence;10.0;10.42726227434744;13103;44553.0;22400.0;633.8;52.7;5.4;16.0;1892.0;75.2;5.1;2.0
PM2.5;Strasbourg;11.0;11.062909132524604;67482;291709.0;20260.0;3727.4;48.4;4.4;83.0;11377.0;68.7;2.0;1.0
PM2.5;Talence;19.0;19.104076923076946;33522;45869.0;24260.0;5493.3;38.3;0.9;2.0;864.0;66.5;3.0;0.0
PM2.5;Tarbes;11.0;10.767330130404922;65440;44529.0;19070.0;2904.7;36.2;5.0;13.0;1907.0;64.8;3.2;0.0
PM2.5;Ternay;12.0;11.855540148745751;69297;5582.0;27400.0;692.6;52.0;19.4;0.0;162.0;78.2;19.4;0.0
PM2.5;Terval;6.0;6.411620185922958;85289;2173.0;21160.0;47.5;36.5;29.3;0.0;74.0;75.3;14.7;1.0
PM2.5;Thionville;8.0;7.575370553359717;57672;42778.0;24850.0;857.6;43.8;6.4;8.0;1494.0;77.0;2.9;1.0
PM2.5;Toulon;9.0;8.639251361687371;83137;180834.0;20960.0;4221.1;31.7;7.2;17.0;4967.0;71.3;2.5;0.0
PM2.5;Toulouse;10.5;10.473765145117431;31555;511684.0;22140.0;4325.3;46.5;12.8;91.0;19723.0;71.8;3.9;2.0
