polluant;ville;valeur;valeur_brute;codgeo;nom_commune;population_2022;mediane_niveau_vie_2021;densite_population_2022;part_commerce_transport_services_2023;part_industrie_2023;nb_hotels_2022;nb_etablissements_2023;taux_activite_2022;part_construction_2023;nb_campings_2022
O3;Rodez;63.0;63.012681912681934;12202;Rodez;24136.0;22210.0;2158.9;40.8;5.1;16.0;1503.0;72.1;3.1;1.0
O3;Romans-sur-Isère;60.0;59.57628468653637;26281;Romans-sur-Isère;33139.0;20520.0;1001.8;37.8;26.1;3.0;1315.0;74.2;4.2;0.0
O3;Rouen;47.0;47.20705937353917;76540;Rouen;116331.0;21330.0;5441.1;42.0;3.8;39.0;5530.0;69.2;2.1;0.0
O3;Roussillon;51.0;50.60914015675433;38344;Roussillon;8584.0;21080.0;738.7;30.6;27.6;5.0;284.0;72.6;12.3;0.0
O3;Royat;64.0;63.7350948196112;63308;Royat;4420.0;27950.0;667.7;60.6;0.9;4.0;107.0;73.4;0.8;1.0
O3;Roye;54.0;53.735193607867245;80685;Roye;5748.0;18970.0;369.6;48.6;30.0;1.0;273.0;72.7;4.5;0.0
O3;Sablons;55.0;55.34580126364168;38349;Sablons;2306.0;24350.0;225.4;38.1;27.2;0.0;55.0;79.6;17.2;0.0
O3;Saint-Amand-les-Eaux;48.0;47.65332537313432;59526;Saint-Amand-les-Eaux;16042.0;20980.0;474.5;33.3;30.4;3.0;527.0;73.8;3.2;1.0
O3;Saint-Brieuc;60.0;59.75255381035485;22278;Saint-Brieuc;44607.0;20910.0;2038.7;25.1;4.3;8.0;1581.0;71.7;2.3;1.0
O3;Saint-Brisson;64.0;64.14311126613187;58235;Saint-Brisson;252.0;19680.0;8.5;18.5;0.0;0.0;11.0;63.7;0.0;1.0
O3;Saint-Chamond;52.0;51.87739441495487;42207;Saint-Chamond;35586.0;20330.0;648.4;33.8;19.8;2.0;1012.0;71.5;5.0;0.0
O3;Saint-Denis-d'Anjou;59.0;59.362010062010114;53210;Saint-Denis-d'Anjou;1512.0;21580.0;36.1;9.6;42.8;1.0;35.0;78.4;8.8;0.0
O3;Saint-Dizier;57.0;56.64840151254731;52448;Saint-Dizier;22811.0;18720.0;478.3;35.7;19.0;7.0;854.0;67.8;3.2;0.0
O3;Saint-Estève;67.0;66.7531121281465;66172;Saint-Estève;11673.0;22170.0;1000.3;45.2;4.4;0.0;407.0;74.4;15.1;0.0
O3;Saint-Germain-sur-Rhône;64.0;63.947452229299365;74235;Saint-Germain-sur-Rhône;644.0;32240.0;82.0;10.3;0.0;0.0;6.0;82.7;55.2;0.0
O3;Saint-Gély-du-Fesc;67.0;67.44010887190167;34255;Saint-Gély-du-Fesc;10530.0;29940.0;637.8;51.8;12.4;0.0;351.0;75.6;3.6;0.0
