Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude,Ville,CODGEO
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZAG01,ZAG BORDEAUX,FR31045,Bordeaux_GAUTIER,Urbaine,NOX as NO2,Trafic,Oui,mesures fixes,Moy. annuelle,83.0,83.13639903791093,µg-m3,100.0,100.0,100.0,R,1,44.833825,-0.598525,Bordeaux,33063.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZAR04,ZAR CHALON,FR32001,Chalon Centre Ville,Urbaine,NOX as NO2,Trafic,Oui,mesures fixes,Moy. annuelle,35.0,34.68420691233698,µg-m3,100.0,100.0,100.0,R,1,46.782311,4.847322,Chalon-sur-Saône,71076.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZAR04,ZAR CHALON,FR32002,Champforgueil,Périurbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,21.0,20.545489277791443,µg-m3,93.0,100.0,93.0,R,1,46.821056,4.835083,Champforgeuil,71081.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZRE01,ZR BOURGOGNE-FRANCHE-COMTE,FR32005,Montceau-les-Mines 9me écluse,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,20.0,19.819562967222545,µg-m3,99.0,100.0,99.0,R,1,46.678785,4.366893,Montceau-les-Mines,71306.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZRE01,ZR BOURGOGNE-FRANCHE-COMTE,FR32006,Macon Paul Bert,Périurbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,19.0,19.443952180028152,µg-m3,98.0,99.0,97.0,R,1,46.316172,4.839994,Mâcon,71270.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR33302,St Germain/Rhône,Rurale près des villes,NOX as NO2,Fond,Oui,mesures indicatives,Moy. annuelle,4.0,4.409439380696714,µg-m3,,,,R,1,46.072224,5.820833,Saint-Germain-sur-Rhône,74235.0
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZAG02,ZAG ORLEANS,FR34013,Gambetta,Urbaine,NOX as NO2,Trafic,Oui,mesures fixes,Moy. annuelle,41.0,40.55267612076861,µg-m3,100.0,100.0,100.0,R,1,47.907083,1.901139,Orléans,45234.0
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZAG02,ZAG ORLEANS,FR34014,St Jean,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,12.0,11.83496462947932,µg-m3,98.0,100.0,98.0,R,1,47.917398,1.966258,Saint-Jean-de-Braye,45284.0
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZAG01,ZAG TOURS,FR34024,Joué lès Tours,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,12.0,12.34253149370126,µg-m3,98.0,97.0,95.0,R,1,47.344139,0.653778,Joué-lès-Tours,37122.0
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZAG01,ZAG TOURS,FR34025,La Bruyère,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,12.0,11.779729093050651,µg-m3,99.0,98.0,97.0,R,1,47.419083,0.682944,Tours,37261.0
