Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude,Ville,CODGEO
2022/01/01 00:00:00,2022/12/31 23:59:59,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23249,CAME,Périurbaine,PM10,Industrielle,Oui,mesures fixes,Moy. annuelle,17.0,16.604047976011973,µg-m3,100.0,99.0,99.0,R,1,47.3210778,-2.127322,Montoir-de-Bretagne,44103.0
2022/01/01 00:00:00,2022/12/31 23:59:59,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23251,FRERES GONCOURT,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. annuelle,19.0,18.632706814985287,µg-m3,97.0,92.0,89.0,R,1,47.204122,-1.564811,Nantes,44109.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZAG02,ZAG NICE,FR24009,CANNES BROUSSAILLES,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. annuelle,16.0,16.285333333333387,µg-m3,98.0,100.0,98.0,R,1,43.558389,7.005919,Cannes,6029.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZRE02,ZR PROVENCE-ALPES-COTE-D-AZUR,FR24018,MANOSQUE,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. annuelle,16.0,15.978773584905694,µg-m3,99.0,100.0,99.0,R,1,43.835784,5.786131,Manosque,4112.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZAG02,ZAG NICE,FR24021,PEILLON,Périurbaine,PM10,Industrielle,Oui,mesures fixes,Moy. annuelle,24.0,23.549641000247508,µg-m3,98.0,94.0,92.0,R,1,43.786583,7.373283,Peillon,6092.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZAG02,ZAG NICE,FR24023,CONTES 2,Périurbaine,PM10,Industrielle,Oui,mesures fixes,Moy. annuelle,23.0,22.724186564394355,µg-m3,92.0,100.0,92.0,R,1,43.788748,7.332382,Contes,6048.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZRE02,ZR PROVENCE-ALPES-COTE-D-AZUR,FR24033,GAP COMMANDERIE,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. annuelle,20.0,19.966119508738768,µg-m3,97.0,99.0,97.0,R,1,44.555193,6.073015,Gap,5061.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZAG02,ZAG NICE,FR24035,NICE PROMENADE,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. annuelle,29.0,28.71694658269185,µg-m3,98.0,100.0,98.0,R,1,43.689291,7.242074,Nice,6088.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZAG02,ZAG NICE,FR24036,NICE ARSON,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. annuelle,19.0,19.24051435820557,µg-m3,99.0,100.0,99.0,R,1,43.702075,7.286256,Nice,6088.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZRE02,ZR PROVENCE-ALPES-COTE-D-AZUR,FR24038,GAP JEAN JAURES,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. annuelle,18.0,17.959376454164698,µg-m3,98.0,100.0,98.0,R,1,44.548647,6.067237,Gap,5061.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZRE02,ZR PROVENCE-ALPES-COTE-D-AZUR,FR24039,Obs Haute-Provence,Rurale près des villes,PM10,Fond,Oui,mesures fixes,Moy. annuelle,12.0,11.772967007434907,µg-m3,99.0,99.0,98.0,R,1,43.933476,5.711809,,
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NORMANDIE,FR28ZAG01,ZAG ROUEN,FR25035,Gd Couronne Mairie,Urbaine,PM10,Industrielle,Oui,mesures fixes,Moy. annuelle,16.0,15.61765356265361,µg-m3,93.0,100.0,93.0,R,1,49.358215,1.007853,Grand-Couronne,76319.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NORMANDIE,FR28ZAG01,ZAG ROUEN,FR25036,Espace du Palais,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. annuelle,17.0,16.750196031840282,µg-m3,97.0,99.0,96.0,R,1,49.442358,1.093789,Rouen,76540.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR25039,Evreux Centre,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. annuelle,14.0,13.6992285549798,µg-m3,99.0,100.0,99.0,R,1,49.02134,1.148319,Évreux,27229.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NORMANDIE,FR28ZAG01,ZAG ROUEN,FR25043,Centre Hospitalier,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. annuelle,17.0,17.138097497331312,µg-m3,96.0,100.0,96.0,R,1,49.4005,1.099042,Sotteville-lès-Rouen,76681.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR25049,Base loisirs Poses,Rurale près des villes,PM10,Fond,Oui,mesures fixes,Moy. annuelle,14.0,13.814078014184409,µg-m3,97.0,100.0,97.0,R,1,49.30487,1.214367,Val-de-Reuil,27701.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR25051,Dieppe prox-auto,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. annuelle,20.0,20.33620732931723,µg-m3,91.0,100.0,91.0,R,1,49.918007,1.073972,Dieppe,76217.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NORMANDIE,FR28ZAG01,ZAG ROUEN,FR25053,Rouen Proxi Quai de Paris,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. annuelle,22.0,22.36685516445467,µg-m3,99.0,100.0,99.0,R,1,49.436699,1.098838,Rouen,76540.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NORMANDIE,FR28ZAG01,ZAG ROUEN,FR25054,Petit-Quevilly Sud 3,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. annuelle,22.0,22.422108433734884,µg-m3,95.0,100.0,95.0,R,1,49.4341639,1.067052778,Le Petit-Quevilly,76498.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR25055,Dieppe Golf,Périurbaine,PM10,Fond,Oui,mesures fixes,Moy. annuelle,15.0,14.544381305810017,µg-m3,99.0,99.0,98.0,R,1,49.920492,1.047892,Dieppe,76217.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZAR02,ZAR DIJON,FR26005,Dijon Péjoces,Périurbaine,PM10,Fond,Oui,mesures fixes,Moy. annuelle,16.0,16.47144218173155,µg-m3,96.0,99.0,96.0,R,1,47.307368,5.065881,Dijon,21231.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZRE01,ZR BOURGOGNE-FRANCHE-COMTE,FR26012,Morvan,Rurale nationale,PM10,Fond,Oui,mesures fixes,Moy. annuelle,11.0,10.762184477471116,µg-m3,98.0,99.0,97.0,R,1,47.274762,4.099476,Saint-Brisson,58235.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZAR02,ZAR DIJON,FR26014,Dijon Trémouille,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. annuelle,14.0,13.741173686701377,µg-m3,98.0,98.0,96.0,R,1,47.325744,5.041056,Dijon,21231.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO BOURGOGNE-FRANCHE-COMTE,FR27ZRE01,ZR BOURGOGNE-FRANCHE-COMTE,FR26016,Sens,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. annuelle,16.0,16.3298915605846,µg-m3,98.0,50.0,48.0,N,-1,48.200436,3.2773,Sens,89387.0
