polluant;ville;valeur;valeur_brute;codgeo;nom_commune;population_2022;mediane_niveau_vie_2021;densite_population_2022;part_commerce_transport_services_2023;part_industrie_2023;nb_hotels_2022;nb_etablissements_2023;taux_activite_2022;part_construction_2023;nb_campings_2022
PM10;Ternay;19.0;19.048433156431656;69297;Ternay;5582.0;27400.0;692.6;52.0;19.4;0.0;162.0;78.2;19.4;0.0
PM10;Terval;13.0;12.772031231791171;85289;Terval;2173.0;21160.0;47.5;36.5;29.3;0.0;74.0;75.3;14.7;1.0
PM10;Thionville;17.0;16.932877837116106;57672;Thionville;42778.0;24850.0;857.6;43.8;6.4;8.0;1494.0;77.0;2.9;1.0
PM10;Toulon;24.5;24.839816609701046;83137;Toulon;180834.0;20960.0;4221.1;31.7;7.2;17.0;4967.0;71.3;2.5;0.0
PM10;Toulouse;19.0;19.12701300364129;31555;Toulouse;511684.0;22140.0;4325.3;46.5;12.8;91.0;19723.0;71.8;3.9;2.0
PM10;Tours;20.0;19.79193904850531;37261;Tours;138668.0;21250.0;3999.7;45.6;7.8;45.0;5162.0;71.2;1.9;0.0
PM10;Tremblay-en-France;18.0;17.806885129539815;93073;Tremblay-en-France;38210.0;21420.0;1702.8;89.0;2.0;7.0;1756.0;74.8;2.8;0.0
PM10;Troyes;16.0;16.43293143344289;10387;Troyes;62443.0;18260.0;4730.5;33.1;10.7;15.0;2117.0;68.5;2.0;0.0
PM10;Trélissac;16.0;15.751691815272077;24557;Trélissac;7319.0;23230.0;319.9;78.1;1.5;1.0;335.0;76.6;6.5;0.0
PM10;Tulle;15.0;14.68057005785245;19272;Tulle;13602.0;21340.0;556.5;28.0;4.0;4.0;794.0;76.2;4.2;0.0
PM10;Val-de-Reuil;14.0;13.814078014184409;27701;Val-de-Reuil;12939.0;17140.0;498.8;40.2;39.8;5.0;414.0;64.9;6.0;0.0
PM10;Valence;18.0;18.45233105721686;26362;Valence;64288.0;20610.0;1752.2;43.0;10.8;20.0;3307.0;72.9;3.2;0.0
PM10;Valenciennes;19.0;18.811391830420146;59606;Valenciennes;42979.0;20250.0;3109.9;34.8;4.8;11.0;1854.0;68.4;1.1;0.0
PM10;Vannes;14.0;14.314941607510905;56260;Vannes;54955.0;24070.0;1701.4;44.1;6.3;22.0;3080.0;70.8;3.4;1.0
PM10;Vaulx-en-Velin;21.0;20.76719778316588;69256;Vaulx-en-Velin;52448.0;17180.0;2503.5;53.4;10.3;2.0;1893.0;67.8;11.0;0.0
PM10;Vesoul;16.0;16.25988851469058;70550;Vesoul;15306.0;19150.0;1687.5;31.2;12.7;4.0;964.0;71.7;1.9;0.0
PM10;Vichy;14.0;14.20317040951122;3310;Vichy;25702.0;20190.0;4393.5;44.4;2.1;25.0;1256.0;67.9;1.0;0.0
PM10;Vif;14.0;14.192027091254776;38545;Vif;8557.0;26090.0;302.4;33.3;4.6;0.0;198.0;77.8;26.7;0.0
PM10;Village-Neuf;16.0;16.232508345804032;68349;Village-Neuf;4617.0;37170.0;676.0;15.1;60.1;1.0;57.0;81.9;0.9;0.0
PM10;Villefranche-sur-Saône;17.0;17.07872165432968;69264;Villefranche-sur-Saône;36224.0;19640.0;3821.1;54.9;10.7;9.0;1728.0;72.5;3.2;1.0
PM10;Villeurbanne;22.5;22.851432365981655;69266;Villeurbanne;162207.0;21540.0;11171.3;53.5;9.4;6.0;4715.0;72.9;5.9;0.0
PM10;Villiers-en-Bois;14.0;14.480999055266864;79350;Villiers-en-Bois;124.0;23150.0;6.7;82.4;3.7;0.0;6.0;80.0;0.0;0.0
PM10;Vitry-sur-Seine;16.0;16.304303044174855;94081;Vitry-sur-Seine;95282.0;19490.0;8164.7;52.0;9.1;3.0;2111.0;72.0;7.7;0.0
PM10;Voiron;15.0;15.069539198084986;38563;Voiron;21604.0;23110.0;986.5;52.3;9.2;4.0;1046.0;77.2;3.4;0.0
PM10;Yzeure;16.0;16.28984090155787;3321;Yzeure;12670.0;23540.0;293.0;35.2;9.7;1.0;384.0;70.8;7.2;0.0
PM10;Épernay;20.0;19.894272716668684;51230;Épernay;22022.0;20590.0;970.6;30.5;29.3;10.0;933.0;75.3;2.5;1.0
PM10;Épinal;15.0;15.154145319049842;88160;Épinal;32296.0;20140.0;545.2;32.8;5.5;9.0;1603.0;69.4;2.4;1.0
PM10;Évreux;14.0;13.6992285549798;27229;Évreux;48335.0;18580.0;1826.7;30.4;10.2;12.0;1810.0;70.7;2.8;0.0
