date_debut;date_fin;organisme;code_zas;nom_zas;code_site;nom_site;type_implantation;polluant;type_influence;reglementaire;type_evaluation;type_valeur;valeur;valeur_brute;unite;taux_saisie;couverture_temporelle;couverture_donnees;code_qualite;validite;latitude_site;longitude_site;ville;codgeo;latitude_commune;longitude_commune;nom_commune;part_commerce_transport_services_2023;population_2022;nb_etablissements_2023;densite_population_2022;taux_activite_2022;mediane_niveau_vie_2021;part_industrie_2023;part_construction_2023;nb_hotels_2022;nb_campings_2022
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02004;Martigues P. Central;Urbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;74.0;74.01480549199084;µg-m3;;;;R;1;43.416661;5.042731;Martigues;13056;43.3798920489;5.04945402314;Martigues;39.3;48818.0;1445.0;683.3;73.3;22570.0;16.1;4.8;11.0;7.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02004;Martigues P. Central;Urbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;74.0;74.01480549199084;µg-m3;;;;R;1;43.416661;5.042731;Martigues;13056;43.3798920489;5.04945402314;Martigues;39.3;48818.0;1445.0;683.3;73.3;22570.0;16.1;4.8;11.0;7.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02004;Martigues P. Central;Urbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;74.0;74.01480549199084;µg-m3;;;;R;1;43.416661;5.042731;Martigues;13056;43.3798920489;5.04945402314;Martigues;39.3;48818.0;1445.0;683.3;73.3;22570.0;16.1;4.8;11.0;7.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02004;Martigues P. Central;Urbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;74.0;74.01480549199084;µg-m3;;;;R;1;43.416661;5.042731;Martigues;13056;43.3798920489;5.04945402314;Martigues;39.3;48818.0;1445.0;683.3;73.3;22570.0;16.1;4.8;11.0;7.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02012;Istres;Urbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;65.0;65.11177915545687;µg-m3;;;;R;1;43.506149;4.982898;Istres;13047;43.5502689105;4.9511813524;Istres;35.6;44044.0;989.0;387.3;77.0;22710.0;10.9;5.4;7.0;1.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02012;Istres;Urbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;65.0;65.11177915545687;µg-m3;;;;R;1;43.506149;4.982898;Istres;13047;43.5502689105;4.9511813524;Istres;35.6;44044.0;989.0;387.3;77.0;22710.0;10.9;5.4;7.0;1.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02021;Sausset les Pins;Périurbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;73.0;73.44703017343791;µg-m3;;;;R;1;43.331245;5.117696;Sausset-les-Pins;13104;43.3456690305;5.11765506999;Sausset-les-Pins;51.2;7556.0;183.0;624.5;74.8;28750.0;3.8;2.8;2.0;0.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR02022;Arles;Urbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;62.0;62.26242816970285;µg-m3;;;;R;1;43.675114;4.62921;Arles;13004;43.5468692378;4.66215642574;Arles;45.4;51156.0;2348.0;67.4;68.4;20060.0;4.7;4.7;43.0;5.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR02022;Arles;Urbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;62.0;62.26242816970285;µg-m3;;;;R;1;43.675114;4.62921;Arles;13004;43.5468692378;4.66215642574;Arles;45.4;51156.0;2348.0;67.4;68.4;20060.0;4.7;4.7;43.0;5.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR02022;Arles;Urbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;62.0;62.26242816970285;µg-m3;;;;R;1;43.675114;4.62921;Arles;13004;43.5468692378;4.66215642574;Arles;45.4;51156.0;2348.0;67.4;68.4;20060.0;4.7;4.7;43.0;5.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR02022;Arles;Urbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;62.0;62.26242816970285;µg-m3;;;;R;1;43.675114;4.62921;Arles;13004;43.5468692378;4.66215642574;Arles;45.4;51156.0;2348.0;67.4;68.4;20060.0;4.7;4.7;43.0;5.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR02022;Arles;Urbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;62.0;62.26242816970285;µg-m3;;;;R;1;43.675114;4.62921;Arles;13004;43.5468692378;4.66215642574;Arles;45.4;51156.0;2348.0;67.4;68.4;20060.0;4.7;4.7;43.0;5.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR02022;Arles;Urbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;62.0;62.26242816970285;µg-m3;;;;R;1;43.675114;4.62921;Arles;13004;43.5468692378;4.66215642574;Arles;45.4;51156.0;2348.0;67.4;68.4;20060.0;4.7;4.7;43.0;5.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR02022;Arles;Urbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;62.0;62.26242816970285;µg-m3;;;;R;1;43.675114;4.62921;Arles;13004;43.5468692378;4.66215642574;Arles;45.4;51156.0;2348.0;67.4;68.4;20060.0;4.7;4.7;43.0;5.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02041;SALON;Urbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;65.0;65.00077972709552;µg-m3;;;;R;1;43.639002;5.101097;Salon-de-Provence;13103;43.6462885238;5.06814649576;Salon-de-Provence;52.7;44553.0;1892.0;633.8;75.2;22400.0;5.4;5.1;16.0;2.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR03027;PLAN AUPS/STE  BAUME;Rurale près des villes;O3;Fond;Oui;mesures fixes;Moy. annuelle;84.0;83.55530468840013;µg-m3;;;;R;1;43.335201;5.727365;Plan-d'Aups-Sainte-Baume;83093;43.3337130548;5.73856018349;Plan-d'Aups-Sainte-Baume;28.4;2430.0;45.0;97.6;79.7;24970.0;2.8;11.4;2.0;0.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03032;AUBAGNE LES PASSONS;Urbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;67.0;66.54851303249511;µg-m3;;;;R;1;43.293138;5.574184;Aubagne;13005;43.2934843764;5.56331273477;Aubagne;51.5;47724.0;2543.0;869.3;73.8;22550.0;15.4;5.3;5.0;1.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03032;AUBAGNE LES PASSONS;Urbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;67.0;66.54851303249511;µg-m3;;;;R;1;43.293138;5.574184;Aubagne;13005;43.2934843764;5.56331273477;Aubagne;51.5;47724.0;2543.0;869.3;73.8;22550.0;15.4;5.3;5.0;1.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;54.0;53.81782339904344;µg-m3;;;;R;1;43.283341;5.511384;La Penne-sur-Huveaune;13070;43.2772079729;5.51850914394;La Penne-sur-Huveaune;67.0;6618.0;297.0;1859.0;76.1;24300.0;8.8;6.6;3.0;0.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;54.0;53.81782339904344;µg-m3;;;;R;1;43.283341;5.511384;La Penne-sur-Huveaune;13070;43.2772079729;5.51850914394;La Penne-sur-Huveaune;67.0;6618.0;297.0;1859.0;76.1;24300.0;8.8;6.6;3.0;0.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03043;MARSEILLE 5 AVENUES;Urbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;58.0;57.908698163335984;µg-m3;;;;R;1;43.305287;5.394716;Marseille;13204;43.306733355;5.40087488752;;;;;;;;;;;
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03048;AIX PLATANES;Périurbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;60.0;60.14906071019471;µg-m3;;;;R;1;43.555777;5.461232;Aix-en-Provence;13001;43.5360708378;5.39857444582;Aix-en-Provence;60.9;147933.0;8570.0;795.0;70.3;25810.0;4.7;5.5;48.0;2.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03048;AIX PLATANES;Périurbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;60.0;60.14906071019471;µg-m3;;;;R;1;43.555777;5.461232;Aix-en-Provence;13001;43.5360708378;5.39857444582;Aix-en-Provence;60.9;147933.0;8570.0;795.0;70.3;25810.0;4.7;5.5;48.0;2.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03048;AIX PLATANES;Périurbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;60.0;60.14906071019471;µg-m3;;;;R;1;43.555777;5.461232;Aix-en-Provence;13001;43.5360708378;5.39857444582;Aix-en-Provence;60.9;147933.0;8570.0;795.0;70.3;25810.0;4.7;5.5;48.0;2.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03048;AIX PLATANES;Périurbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;60.0;60.14906071019471;µg-m3;;;;R;1;43.555777;5.461232;Aix-en-Provence;13001;43.5360708378;5.39857444582;Aix-en-Provence;60.9;147933.0;8570.0;795.0;70.3;25810.0;4.7;5.5;48.0;2.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03048;AIX PLATANES;Périurbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;60.0;60.14906071019471;µg-m3;;;;R;1;43.555777;5.461232;Aix-en-Provence;13001;43.5360708378;5.39857444582;Aix-en-Provence;60.9;147933.0;8570.0;795.0;70.3;25810.0;4.7;5.5;48.0;2.0
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03048;AIX PLATANES;Périurbaine;O3;Fond;Oui;mesures fixes;Moy. annuelle;60.0;60.14906071019471;µg-m3;;;;R;1;43.555777;5.461232;Aix-en-Provence;13001;43.5360708378;5.39857444582;Aix-en-Provence;60.9;147933.0;8570.0;795.0;70.3;25810.0;4.7;5.5;48.0;2.0
