code_geo,libelle,part_commerce_transport_services_2023,population_2022,nb_etablissements_2023,densite_population_2022,taux_activite_2022,mediane_niveau_vie_2021,part_industrie_2023,part_construction_2023,nb_hotels_2022,nb_campings_2022
57345,Inglange,0.0,395.0,4.0,69.1,82.2,29790.0,0.0,0.0,0.0,0.0
57346,Insming,37.2,601.0,24.0,83.4,73.2,23070.0,8.1,8.1,0.0,0.0
57347,Insviller,0.0,171.0,5.0,20.5,78.9,21370.0,0.0,0.0,0.0,0.0
57348,Ippling,50.0,790.0,10.0,240.1,77.0,26260.0,16.7,0.0,0.0,0.0
57349,Jallaucourt,16.7,139.0,5.0,16.5,77.1,23460.0,0.0,0.0,0.0,0.0
57350,Jouy-aux-Arches,70.6,1431.0,200.0,238.1,78.2,26670.0,4.1,17.7,3.0,0.0
57351,Jury,13.0,1383.0,36.0,436.3,69.6,27620.0,0.1,12.4,0.0,0.0
57352,Jussy,38.4,458.0,17.0,157.4,80.4,35040.0,0.0,2.0,0.0,0.0
57353,Juvelize,0.0,72.0,3.0,9.2,70.3,,0.0,0.0,0.0,0.0
57354,Juville,82.4,138.0,5.0,22.8,81.6,24620.0,0.0,5.9,0.0,0.0
57355,Kalhausen,46.0,779.0,11.0,57.6,78.1,24900.0,24.0,0.0,1.0,0.0
57356,Kanfen,15.1,1234.0,21.0,145.2,78.6,37060.0,11.3,0.0,0.0,0.0
57357,Kappelkinger,0.0,421.0,4.0,49.1,74.5,22310.0,0.0,20.0,0.0,0.0
57358,Kédange-sur-Canner,22.5,1060.0,25.0,271.1,82.0,25770.0,47.6,2.9,1.0,0.0
57359,Kemplich,0.0,177.0,1.0,31.9,77.0,23790.0,0.0,0.0,0.0,0.0
57360,Kerbach,27.7,1223.0,14.0,274.8,75.6,26230.0,4.6,9.2,0.0,0.0
57361,Kerling-lès-Sierck,12.5,608.0,6.0,34.1,79.7,29760.0,0.0,37.5,0.0,0.0
57362,Kerprich-aux-Bois,33.3,192.0,5.0,29.8,84.2,25970.0,0.0,0.0,0.0,0.0
57364,Kirsch-lès-Sierck,0.0,329.0,3.0,37.2,80.5,31940.0,0.0,0.0,0.0,0.0
57365,Kirschnaumen,26.7,479.0,14.0,24.0,77.9,27430.0,6.7,0.0,0.0,0.0
57366,Kirviller,0.0,140.0,2.0,55.1,82.0,25510.0,0.0,0.0,0.0,0.0
57367,Klang,33.3,213.0,2.0,50.8,79.2,23340.0,0.0,0.0,0.0,0.0
57368,Knutange,43.6,3206.0,65.0,1319.3,74.3,19320.0,5.3,5.3,1.0,0.0
57370,Kœnigsmacker,36.6,2242.0,47.0,121.8,79.8,27530.0,18.5,9.5,1.0,0.0
57371,Haute-Kontz,0.0,550.0,5.0,85.8,78.5,26820.0,0.0,18.8,0.0,0.0
57372,Kuntzig,4.2,1365.0,9.0,302.7,79.1,29220.0,39.6,2.1,0.0,0.0
57373,Lachambre,40.6,913.0,24.0,116.2,78.3,25430.0,5.9,37.6,0.0,0.0
57374,Lafrimbolle,0.0,207.0,4.0,19.3,71.8,21820.0,0.0,50.0,0.0,0.0
57375,Lagarde,21.4,181.0,11.0,8.1,68.8,20690.0,14.3,0.0,0.0,0.0
57376,Lambach,0.0,475.0,4.0,85.7,79.4,22440.0,23.1,0.0,0.0,0.0
57377,Landange,50.0,242.0,5.0,49.9,74.9,22340.0,0.0,10.0,0.0,0.0
57379,Landroff,39.1,268.0,6.0,34.7,79.1,21230.0,0.0,0.0,0.0,0.0
57380,Laneuveville-lès-Lorquin,0.0,105.0,1.0,46.9,87.3,25500.0,0.0,0.0,0.0,0.0
57381,Laneuveville-en-Saulnois,14.3,285.0,5.0,43.9,78.9,21820.0,0.0,42.9,0.0,0.0
57382,Langatte,46.6,629.0,16.0,48.5,81.5,23730.0,16.4,8.2,0.0,1.0
57383,Languimberg,63.9,159.0,10.0,8.7,84.5,24070.0,8.3,2.8,0.0,0.0
57384,Laning,29.2,601.0,11.0,89.6,83.0,23730.0,8.3,16.7,0.0,0.0
57385,Laquenexy,13.1,1254.0,17.0,138.0,78.0,27660.0,2.4,22.6,0.0,0.0
57386,Laudrefang,14.3,339.0,9.0,72.1,76.5,22830.0,7.1,42.9,0.0,0.0
57387,Laumesfeld,53.8,285.0,7.0,34.3,72.2,25190.0,7.7,0.0,0.0,0.0
57388,Launstroff,0.0,241.0,2.0,30.9,79.2,22390.0,60.0,0.0,0.0,0.0
