Code;Libellé;Part des effectifs des commerces, transports, services divers 2023;Population municipale 2022;Nombre d'établissements 2023;Densité de population (historique depuis 1876) 2022;Taux d'activité par tranche d'âge 2022;Médiane du niveau de vie 2021;Part des effectifs de l'industrie 2023;Part des effectifs de la construction 2023
34234;Roquessels;0,0;111;7;12.4;81.2;N/A - secret statistique;0,0;7.7
34235;Rosis;0,0;271;4;5.1;75.7;19300;30.8;30.8
34236;Rouet;0,0;69;5;2.8;83,0;N/A - secret statistique;0,0;0,0
34237;Roujan;57.1;2297;63;135,0;74.8;21360;2.6;2.6
34238;Saint-André-de-Buèges;0,0;47;2;3.1;77.3;N/A - secret statistique;0,0;0,0
34239;Saint-André-de-Sangonis;29.4;6364;175;324.7;76.2;21660;6.9;14.7
34240;Saint-Aunès;76.4;4333;296;351.7;82.8;27160;7.4;10.7
34241;Saint-Bauzille-de-la-Sylve;14.7;938;18;108.7;78.3;22740;8,0;1.3
34242;Saint-Bauzille-de-Montmel;22.4;1212;27;56.3;81.1;27620;0,0;22.4
34243;Saint-Bauzille-de-Putois;29.9;1839;43;101.3;77.3;21100;21,0;15.9
34244;Saint-Brès;37.3;3462;67;712.3;80.7;24650;11.6;14.5
34245;Saint-Chinian;30.9;1775;89;76.2;69.1;19720;10.5;11.3
34246;Entre-Vignes;30.5;2186;67;130.1;74.1;25740;5.2;3.2
34247;Saint-Clément-de-Rivière;41.1;5140;216;403.8;75.7;34870;2.4;1.8
34248;Sainte-Croix-de-Quintillargues;13.7;970;16;146.5;81.4;27460;7.8;19.6
34249;Saint-Drézéry;52.6;2952;75;281.9;82,0;27330;1.9;11.6
34250;Saint-Étienne-d'Albagnan;14.3;301;7;13.3;77.3;19920;0,0;21.4
34251;Saint-Étienne-de-Gourgas;2.3;520;9;26.8;81.8;21630;0,0;25.6
34252;Saint-Étienne-Estréchoux;0,0;257;3;71.8;65.9;18610;10,0;50,0
34253;Saint-Félix-de-l'Héras;0,0;32;5;2.5;89.5;N/A - secret statistique;0,0;0,0
34254;Saint-Félix-de-Lodez;78.1;1142;41;260.7;80.8;23930;9.1;4.9
34255;Saint-Gély-du-Fesc;51.8;10530;351;637.8;75.6;29940;12.4;3.6
34256;Saint-Geniès-des-Mourgues;38.2;2112;51;185.8;81.6;27690;5.5;18.2
34257;Saint-Geniès-de-Varensal;4.5;216;6;17.2;67.6;17740;0,0;1.5
34258;Saint-Geniès-de-Fontedit;22.5;1695;31;183.4;75.9;23050;1.6;36.4
34259;Saint-Georges-d'Orques;45.9;5707;177;613,0;78.4;25520;10.2;21.5
34260;Saint-Gervais-sur-Mare;11.5;839;19;34.5;71.5;19550;2.1;0,0
34261;Saint-Guilhem-le-Désert;68.2;243;36;6.3;77,0;19390;2.3;0,0
34262;Saint-Guiraud;11.5;273;8;45,0;76.8;25250;0,0;42.3
34263;Saint-Hilaire-de-Beauvoir;41.2;458;11;97.7;84.1;25100;0,0;23.5
34264;Saint-Jean-de-Buèges;11.1;211;8;12.5;77.2;17210;0,0;22.2
34265;Saint-Jean-de-Cornies;42.9;839;11;269.8;79.7;28110;0,0;3.6
34266;Saint-Jean-de-Cuculles;35.3;532;11;58.5;74.3;29770;0,0;41.2
34267;Saint-Jean-de-Fos;32.1;1743;42;122.8;77,0;21990;16.8;13.1
34268;Saint-Jean-de-la-Blaquière;42.6;695;19;40.4;80.2;21570;1.9;9.3
34269;Saint-Jean-de-Minervois;7.7;133;10;4.1;68.8;17230;30.8;0,0
34270;Saint-Jean-de-Védas;57,0;13300;921;1031.8;78.9;25510;9.7;15.7
34271;Saint-Julien;13.6;225;4;11.7;72,0;18050;68.2;0,0
34272;Saint-Just;56.4;3290;64;541.1;79.6;24370;4.9;17,0
34273;Saint-Martin-de-l'Arçon;0,0;103;3;24.4;71.2;21270;14.3;0,0
34274;Saint-Martin-de-Londres;29.2;2728;95;71.4;78.6;24630;18,0;8.1
34276;Saint-Mathieu-de-Tréviers;45.3;4869;181;222.1;77.8;25010;9.9;5.2
34277;Saint-Maurice-Navacelles;26.1;184;11;2.7;74.3;16900;0,0;8.7
34278;Saint-Michel;0,0;60;5;2.4;80.6;N/A - secret statistique;0,0;72.7
34279;Saint-Nazaire-de-Ladarez;7.7;321;7;11.4;73,0;18720;0,0;0,0
34280;Saint-Nazaire-de-Pézan;16.1;620;20;109.5;81.9;22140;25,0;25,0
34281;Saint-Pargoire;27.6;2438;64;102.6;79.2;20910;8,0;9.3
34282;Saint-Paul-et-Valmalle;42.7;1367;31;107.5;80.7;25710;6.7;15.7
34283;Saint-Pierre-de-la-Fage;0,0;123;3;6.6;75,0;20940;0,0;93.1
34284;Saint-Pons-de-Thomières;21.6;1718;91;41.9;64.9;16920;8.4;2.2
34285;Saint-Pons-de-Mauchiens;41.9;641;19;47.2;77.6;21080;2.3;9.3
34286;Saint-Privat;36.1;453;18;16.8;76.4;17930;0,0;41.7
34287;Saint-Saturnin-de-Lucian;67.2;289;13;29.4;75.1;20880;8.6;1.7
34288;Saint-Sériès;37.9;972;21;213.2;79.8;27150;17.5;28.2
34289;Saint-Thibéry;26.2;3047;126;165,0;79.8;20600;8.8;17.2
34290;Saint-Vincent-de-Barbeyrargues;7.7;760;17;339.3;75.3;28520;33.3;41,0
34291;Saint-Vincent-d'Olargues;12.5;354;2;22.3;70.4;18730;0,0;0,0
34292;Salasc;0,0;342;3;38,0;77.8;21740;0,0;0,0
34293;La Salvetat-sur-Agout;33.8;1115;61;12.7;77.1;20480;7.9;0.8
34294;Saturargues;17.1;1021;22;170.5;84.4;24400;18,0;11.7
34295;Saussan;57,0;1926;48;535,0;81.9;26260;0,0;5.6
34296;Saussines;15.4;992;22;158,0;79.5;25470;1.9;42.3
34297;Sauteyrargues;65.2;435;18;34.1;78.8;25130;0,0;16.7
34298;Sauvian;50.9;5498;141;420.7;72,0;22270;4.3;7.9
34299;Sérignan;51.8;8437;246;307.4;72.6;21240;2.3;2.4
34300;Servian;44.1;5427;174;133.6;76.1;21670;13.4;7.9
34301;Sète;46.6;45090;1876;1862.5;67.4;19960;6.2;3.1
34302;Siran;33.7;751;29;35.3;74.3;19730;0,0;15.7
34303;Sorbs;0,0;39;2;1.9;88.9;N/A - secret statistique;0,0;0,0
34304;Soubès;13,0;954;36;77.2;75.2;21290;0,0;9.6
34305;Le Soulié;11.1;133;7;3.3;73.3;17580;0,0;0,0
34306;Soumont;21.4;243;8;22,0;71.1;18140;42.9;14.3
34307;Sussargues;34.5;2817;54;434.7;77.5;28460;5.3;3.4
34308;Taussac-la-Billière;21.7;462;7;31.6;78.9;21340;0,0;47.8
34309;Teyran;47,0;4729;135;471,0;77.2;29970;9.9;9.2
34310;Thézan-lès-Béziers;48.6;3070;125;224.9;77.5;22860;3.4;26.8
34311;Tourbes;25.6;1875;52;117.5;78.4;23590;2.6;5.2
34312;La Tour-sur-Orb;25.2;1346;18;43.9;73.6;21430;14,0;35.5
34313;Tressan;37.5;688;14;175.5;77.8;21340;0,0;12.5
34314;Le Triadou;24.4;692;12;109.8;81.3;27910;0,0;51.2
34315;Usclas-d'Hérault;15,0;438;9;155.3;75,0;22830;0,0;15,0
34316;Usclas-du-Bosc;0,0;248;2;55,0;77.4;24390;0,0;0,0
34317;La Vacquerie-et-Saint-Martin-de-Castries;50,0;202;12;4.7;79.4;18230;0,0;0,0
34318;Vacquières;36.4;757;23;51.4;84.9;23000;0,0;16.7
34319;Vailhan;85.2;142;4;12.6;74,0;18130;0,0;0,0
34320;Vailhauquès;14.3;2684;87;166.5;79.6;27230;6.2;3.5
34321;Valergues;23.6;2173;60;417.9;78.8;24940;51.3;9.7
34322;Valflaunès;31.7;793;36;37.7;79.5;27100;11.1;0.8
34323;Valmascle;0,0;51;1;7.3;71.4;N/A - secret statistique;0,0;0,0
34324;Valras-Plage;65.3;4300;235;1829.8;69.3;20760;3.2;1,0
34325;Valros;28.3;1665;25;251.9;79.6;21700;0,0;32.3
34326;Vélieux;0,0;102;2;10,0;64.3;N/A - secret statistique;0,0;60,0
34327;Vendargues;67.8;7157;464;797,0;81.8;25340;13.5;10.9
34328;Vendémian;28.1;1157;23;68.5;80.2;23030;5.3;19.3
34329;Vendres;52.9;2671;228;70.7;77,0;22350;8.1;12.9
34331;Verreries-de-Moussans;0,0;88;3;4.7;71.4;N/A - secret statistique;87.1;0,0
34332;Vias;57.8;5960;343;183.4;69.8;19780;4.9;12.9
34333;Vic-la-Gardiole;39.7;3413;143;184.6;80.5;22730;15.9;15.2
34334;Vieussan;41.7;268;8;9.5;80.6;16530;0,0;8.3
34335;Villemagne-l'Argentière;78.2;420;22;52.1;76.2;22070;0,0;0.5
34336;Villeneuve-lès-Béziers;68.4;4283;333;247.4;74,0;20500;11.1;13.2
34337;Villeneuve-lès-Maguelone;39.6;10406;259;458.4;68.7;24010;6.3;6.2
34338;Villeneuvette;16.7;66;7;21,0;81.8;N/A - secret statistique;16.7;0,0
34339;Villespassans;22.2;186;7;13.2;82.1;18120;0,0;0,0
34340;Villetelle;80.1;1698;46;319.8;78.7;26660;1.2;11,0
34341;Villeveyrac;36.4;3953;118;106.5;81.7;22720;8.6;22.7
34342;Viols-en-Laval;25,0;216;6;13.5;67.1;26290;0,0;25,0
34343;Viols-le-Fort;25.8;1223;33;73.1;79.2;23330;40.9;3.1
34344;La Grande-Motte;59,0;8508;544;804.2;74.5;23390;17.9;3.1
35001;Acigné;26.3;6911;156;233.9;78.8;25850;41,0;13.2
35002;Amanlis;55,0;1765;37;69.9;82.2;25150;1.2;0,0
35003;Andouillé-Neuville;61.4;1006;21;79.8;85,0;22880;2.4;14.2
35004;Val-Couesnon;14.9;4084;112;51.7;73.6;21200;19.2;3.3
35005;Arbrissel;0,0;270;3;58.4;79.6;21640;0,0;11.1
35006;Argentré-du-Plessis;36.8;4591;146;110.7;80.2;23260;22.9;17.6
35007;Aubigné;27.3;465;4;211.4;80.3;24420;18.2;0,0
35008;Availles-sur-Seiche;15.9;647;17;58.5;79.9;22180;0,0;73.9
35009;Baguer-Morvan;12.3;1697;37;73.4;78.5;22380;0.6;21.6
35010;Baguer-Pican;10,0;1764;38;112.9;81,0;22320;38.2;38.2
35012;Bain-de-Bretagne;50.7;7704;330;118.9;76.4;22930;6.5;4.2
35013;Bains-sur-Oust;18.1;3521;88;78.9;76.1;22800;52.6;14.8
35014;Bais;36.4;2511;76;71.4;83.2;22050;16.1;15.5
35015;Balazé;24.8;2181;40;59.5;81.5;23290;5.5;24.8
35016;Baulon;18.7;2208;45;88.2;82.2;23460;15.1;22.9
35017;La Baussaine;47.4;675;19;70.1;84.2;22790;0,0;21.1
35018;La Bazouge-du-Désert;35,0;1080;25;43.9;79.1;21700;9.7;22.3
35019;Bazouges-la-Pérouse;21.8;1865;69;32.1;73.2;21050;25.9;10.1
35021;Beaucé;60.6;1289;35;157.8;79.6;23310;10.5;20.3
